loss,reward
0.0,20.0
0.0,43.0
0.0,16.0
0.0,19.0
0.0,11.0
0.0,10.0
0.0,12.0
0.0,14.0
0.0,16.0
0.0,14.0
0.0,13.0
0.0,11.0
0.0,10.0
0.0,10.0
0.0,13.0
0.0,10.0
0.0,12.0
0.0,12.0
0.0,11.0
0.0,20.0
0.0,8.0
0.0,10.0
0.0,10.0
0.0,10.0
0.0,10.0
0.0,16.0
0.0,14.0
0.0,15.0
0.0,11.0
0.0,11.0
0.0,14.0
0.0,9.0
0.0,10.0
0.0,10.0
0.0,9.0
0.0,10.0
0.0,10.0
0.0,17.0
0.0,10.0
0.0,13.0
0.0,15.0
0.0,16.0
0.0,10.0
0.0,26.0
0.0,13.0
0.0,13.0
0.0,15.0
0.0,11.0
0.0,12.0
0.0,10.0
0.0,14.0
0.0,10.0
0.0,9.0
0.0,15.0
0.0,12.0
0.0,17.0
0.0,9.0
0.0,17.0
0.0,21.0
0.0,16.0
0.0,12.0
0.0,17.0
0.0,18.0
0.0,9.0
0.0,15.0
0.0,13.0
0.0,15.0
0.0,10.0
0.0,10.0
0.0,10.0
0.0,10.0
0.0,17.0
0.0,19.0
0.0,13.0
0.0,11.0
0.0,17.0
0.0,17.0
0.0,17.0
0.0,13.0
0.0,18.0
0.0,16.0
0.0,10.0
0.0,11.0
0.0,14.0
0.0,15.0
0.0,14.0
0.0,10.0
0.0,12.0
0.0,11.0
0.0,15.0
0.0,17.0
0.0,9.0
0.0,13.0
0.0,14.0
0.0,11.0
0.0,15.0
0.0,11.0
0.0,16.0
0.0,13.0
0.0,14.0
0.0,12.0
0.0,10.0
0.0,65.0
0.0,24.0
0.0,10.0
0.0,16.0
0.0,11.0
0.0,12.0
0.0,16.0
0.0,12.0
0.0,38.0
0.0,12.0
0.0,15.0
0.0,12.0
0.0,11.0
0.0,18.0
0.0,11.0
0.0,14.0
0.0,18.0
0.0,10.0
0.0,13.0
0.0,12.0
0.0,15.0
0.0,10.0
0.0,14.0
0.0,15.0
0.0,9.0
0.0,32.0
0.0,10.0
0.0,15.0
0.0,12.0
0.0,16.0
0.0,11.0
0.0,19.0
0.0,30.0
0.0,10.0
0.0,10.0
0.0,11.0
0.0,17.0
0.0,12.0
0.0,12.0
0.988906741142273,9.0
0.8725005388259888,16.0
0.8366656303405762,9.0
0.7871033549308777,12.0
1.1063907146453857,10.0
