loss,reward
0.9104288816452026,255.0
0.375085711479187,80.0
1.8088176250457764,151.0
0.5951663255691528,129.0
0.324981689453125,70.0
0.2784664034843445,41.0
0.3817763328552246,66.0
0.44427961111068726,39.0
0.8115189075469971,29.0
1.326892614364624,18.0
1.4456162452697754,9.0
0.777480959892273,45.0
0.464421808719635,158.0
0.8056051731109619,84.0
0.4070625603199005,41.0
2.8537230491638184,200.0
0.8424346446990967,58.0
0.8332567811012268,16.0
0.5728671550750732,117.0
0.7956504821777344,61.0
0.9580152034759521,195.0
0.8893616199493408,57.0
0.19022248685359955,210.0
0.4902709722518921,185.0
1.2760381698608398,33.0
0.5301259756088257,210.0
1.1016627550125122,221.0
1.4324655532836914,170.0
0.5157077312469482,73.0
0.39036548137664795,27.0
2.375429630279541,18.0
1.5247784852981567,97.0
0.3424409031867981,106.0
0.39490386843681335,155.0
1.3280487060546875,69.0
0.10208304226398468,89.0
0.751679003238678,75.0
0.6017590761184692,16.0
0.8135062456130981,65.0
0.1835656613111496,163.0
1.3440542221069336,17.0
0.4760810136795044,91.0
0.668347954750061,15.0
1.9479520320892334,19.0
1.7136054039001465,53.0
0.1533365696668625,43.0
1.009100317955017,14.0
1.3067556619644165,125.0
0.18296119570732117,164.0
1.535491704940796,146.0
2.5309371948242188,34.0
0.5287212133407593,44.0
1.4692717790603638,194.0
0.6011167764663696,168.0
0.5443718433380127,131.0
1.264585256576538,191.0
0.5411173105239868,202.0
0.32079166173934937,128.0
1.6571083068847656,84.0
0.25639092922210693,117.0
0.7478107213973999,25.0
0.9564459323883057,134.0
0.6459843516349792,98.0
1.0206458568572998,67.0
0.27345389127731323,115.0
0.3043212294578552,196.0
1.2232213020324707,34.0
0.2315894514322281,52.0
0.4401737153530121,116.0
1.1414611339569092,115.0
1.1693521738052368,18.0
0.2809138894081116,91.0
1.4040789604187012,264.0
0.24588900804519653,174.0
0.2393794059753418,242.0
0.2614097595214844,20.0
2.4726948738098145,77.0
0.1627230942249298,25.0
0.6629257202148438,20.0
0.8853341341018677,34.0
1.3008816242218018,26.0
1.3675851821899414,16.0
0.12989437580108643,119.0
0.9010545015335083,131.0
1.4977720975875854,25.0
0.3028128445148468,54.0
0.7051928043365479,129.0
0.22738096117973328,140.0
0.43561404943466187,35.0
0.2715020775794983,105.0
1.5588603019714355,105.0
0.35880523920059204,87.0
2.2753660678863525,19.0
0.4607012867927551,10.0
0.2125573754310608,149.0
